item,itemLabel,dob,twfyid,sexLabel
http://www.wikidata.org/entity/Q333376,"Walter Runciman, 1st Viscount Runciman of Doxford",1870-11-19T00:00:00Z,18986,male
http://www.wikidata.org/entity/Q333382,"Edward Turnour, 6th Earl Winterton",1883-04-04T00:00:00Z,19708,male
http://www.wikidata.org/entity/Q333417,"Robert Hobart, 4th Earl of Buckinghamshire",1760-05-06T00:00:00Z,,male
http://www.wikidata.org/entity/Q333418,"John Pratt, 1st Marquess Camden",1759-02-11T00:00:00Z,,male
http://www.wikidata.org/entity/Q333437,"Gordon Macdonald, 1st Baron Macdonald of Gwaenysgor",1888-05-27T00:00:00Z,21235,male
http://www.wikidata.org/entity/Q1926755,Michael Adie,1929-11-22T00:00:00Z,,male
http://www.wikidata.org/entity/Q1926783,"Michael Allenby, 3rd Viscount Allenby",1931-04-20T00:00:00Z,13105,male
http://www.wikidata.org/entity/Q1927781,"Michael Hicks Beach, 3rd Earl St Aldwyn",1950-02-07T00:00:00Z,,male
http://www.wikidata.org/entity/Q1928399,"Michael Layton, 2nd Baron Layton",1912-09-28T00:00:00Z,,male
http://www.wikidata.org/entity/Q1960282,"Chichester Parkinson-Fortescue, 1st Baron Carlingford",1823-01-18T00:00:00Z,15105,male
http://www.wikidata.org/entity/Q1967752,"Thomas Tomlin, Baron Tomlin",1867-05-06T00:00:00Z,,male
http://www.wikidata.org/entity/Q1967797,"William Watson, Baron Thankerton",1873-12-08T00:00:00Z,21590,male
http://www.wikidata.org/entity/Q1968514,"David Murray, 2nd Earl of Mansfield",1727-10-09T00:00:00Z,,male
http://www.wikidata.org/entity/Q1972589,"Ralph de Neville, 1st Earl of Westmorland",1364-01-01T00:00:00Z,,male
http://www.wikidata.org/entity/Q1989190,"William Lever, 1st Viscount Leverhulme",1851-09-19T00:00:00Z,20690,male
http://www.wikidata.org/entity/Q1989558,Nigel McCulloch,1942-01-17T00:00:00Z,13682,male
http://www.wikidata.org/entity/Q2021920,"William Boyle, 12th Earl of Cork",1873-11-30T00:00:00Z,,male
http://www.wikidata.org/entity/Q2022932,"James St Clair-Erskine, 2nd Earl of Rosslyn",1762-02-06T00:00:00Z,24368,male
http://www.wikidata.org/entity/Q2042619,"Owen Lloyd George, 3rd Earl Lloyd-George of Dwyfor",1924-04-28T00:00:00Z,,male
http://www.wikidata.org/entity/Q2053824,"Norton Knatchbull, 6th Baron Brabourne",1922-02-11T00:00:00Z,,male
http://www.wikidata.org/entity/Q2072665,"Sholto Douglas, 1st Baron Douglas of Kirtleside",1893-12-23T00:00:00Z,,male
http://www.wikidata.org/entity/Q2072926,"Bruce Fraser, 1st Baron Fraser of North Cape",1888-02-05T00:00:00Z,,male
http://www.wikidata.org/entity/Q2076924,"Peter Martyn-Hemphill, 5th Baron Hemphill",1928-09-05T00:00:00Z,,male
http://www.wikidata.org/entity/Q2079507,"Frederick Howard, 5th Earl of Carlisle",1748-05-28T00:00:00Z,,male
http://www.wikidata.org/entity/Q2119859,"Frank Russell, Baron Russell of Killowen",1867-07-02T00:00:00Z,,male
http://www.wikidata.org/entity/Q2129556,"Ralph de Cromwell, 3rd Baron Cromwell",1393-01-01T00:00:00Z,,male
http://www.wikidata.org/entity/Q2134319,"Rayner Goddard, Baron Goddard",1877-04-10T00:00:00Z,,male
http://www.wikidata.org/entity/Q2149625,"Richard Grey, 6th Earl Grey",1939-03-04T00:00:00Z,,male
http://www.wikidata.org/entity/Q2149625,"Richard Grey, 6th Earl Grey",1939-03-05T00:00:00Z,,male
http://www.wikidata.org/entity/Q2150585,"Richard Scott, Baron Scott of Foscote",1934-10-02T00:00:00Z,13142,male
http://www.wikidata.org/entity/Q284238,"John Crichton-Stuart, 2nd Marquess of Bute",1793-08-10T00:00:00Z,,male
http://www.wikidata.org/entity/Q287608,"Cameron Cobbold, 1st Baron Cobbold",1904-09-14T00:00:00Z,,male
http://www.wikidata.org/entity/Q294651,"John Stuart, 3rd Earl of Bute",1713-05-25T00:00:00Z,,male
http://www.wikidata.org/entity/Q294662,"Charles Grey, 2nd Earl Grey",1764-03-13T00:00:00Z,23485,male
http://www.wikidata.org/entity/Q294662,"Charles Grey, 2nd Earl Grey",1764-03-13T00:00:00Z,23486,male
http://www.wikidata.org/entity/Q302709,"Michael Onslow, 7th Earl of Onslow",1938-02-28T00:00:00Z,13166,male
http://www.wikidata.org/entity/Q310121,"William Parsons, 3rd Earl of Rosse",1800-06-17T00:00:00Z,18689,male
http://www.wikidata.org/entity/Q312381,"Henry Stuart, Lord Darnley",1545-01-01T00:00:00Z,,male
http://www.wikidata.org/entity/Q312381,"Henry Stuart, Lord Darnley",1545-12-07T00:00:00Z,,male
http://www.wikidata.org/entity/Q312564,"Douglas Haig, 1st Earl Haig",1861-06-19T00:00:00Z,,male
http://www.wikidata.org/entity/Q312569,"Robert Jenkinson, 2nd Earl of Liverpool",1770-06-07T00:00:00Z,,male
http://www.wikidata.org/entity/Q312573,"William Petty, 2nd Earl of Shelburne",1737-05-02T00:00:00Z,,male
http://www.wikidata.org/entity/Q312577,"Henry Addington, 1st Viscount Sidmouth",1757-05-30T00:00:00Z,22737,male
http://www.wikidata.org/entity/Q312583,"Augustus FitzRoy, 3rd Duke of Grafton",1735-09-28T00:00:00Z,,male
http://www.wikidata.org/entity/Q312596,"William Wyndham Grenville, 1st Baron Grenville",1759-10-25T00:00:00Z,,male
http://www.wikidata.org/entity/Q313771,"Prince Adolphus, Duke of Cambridge",1774-02-24T00:00:00Z,,male
http://www.wikidata.org/entity/Q315540,"Archibald Wavell, 1st Earl Wavell",1883-05-05T00:00:00Z,,male
http://www.wikidata.org/entity/Q315540,"Archibald Wavell, 1st Earl Wavell",1884-06-21T00:00:00Z,,male
http://www.wikidata.org/entity/Q320296,"Arthur Wellesley, 2nd Duke of Wellington",1807-02-03T00:00:00Z,17213,male
http://www.wikidata.org/entity/Q320300,"Charles Grey, 1st Earl Grey",1729-10-23T00:00:00Z,,male
http://www.wikidata.org/entity/Q320305,"Valerian Wellesley, 8th Duke of Wellington",1915-07-02T00:00:00Z,,male
http://www.wikidata.org/entity/Q320604,"Michael Morris, 3rd Baron Killanin",1914-07-30T00:00:00Z,,male
http://www.wikidata.org/entity/Q320817,"Henry Wellesley, 1st Earl Cowley",1804-06-17T00:00:00Z,,male
http://www.wikidata.org/entity/Q321456,"Brian Robertson, 1st Baron Robertson of Oakridge",1896-07-22T00:00:00Z,,male
http://www.wikidata.org/entity/Q323773,Charles Beresford,1846-02-10T00:00:00Z,16364,male
http://www.wikidata.org/entity/Q324028,"John Crichton-Stuart, 3rd Marquess of Bute",1847-01-01T00:00:00Z,,male
http://www.wikidata.org/entity/Q324028,"John Crichton-Stuart, 3rd Marquess of Bute",1847-09-12T00:00:00Z,,male
http://www.wikidata.org/entity/Q328102,"Matthew White Ridley, 4th Viscount Ridley",1925-07-29T00:00:00Z,,male
http://www.wikidata.org/entity/Q331287,"Charles Spencer, 9th Earl Spencer",1964-05-20T00:00:00Z,,male
http://www.wikidata.org/entity/Q331302,"John Murray, 1st Duke of Atholl",1660-02-24T00:00:00Z,,male
http://www.wikidata.org/entity/Q331351,"David Ogilvy, 13th Earl of Airlie",1926-05-17T00:00:00Z,,male
http://www.wikidata.org/entity/Q332442,Sidney Webb,1859-07-13T00:00:00Z,21516,male
http://www.wikidata.org/entity/Q332475,"Walter Guinness, 1st Baron Moyne",1880-03-29T00:00:00Z,21572,male
http://www.wikidata.org/entity/Q332513,"Gilbert Elliot-Murray-Kynynmound, 1st Earl of Minto",1751-04-23T00:00:00Z,,male
http://www.wikidata.org/entity/Q332521,"George Spencer, 2nd Earl Spencer",1758-09-01T00:00:00Z,,male
http://www.wikidata.org/entity/Q332644,"Alexander Hood, 1st Viscount Bridport",1726-12-02T00:00:00Z,,male
http://www.wikidata.org/entity/Q332654,"Henry Phipps, 1st Earl of Mulgrave",1755-02-14T00:00:00Z,,male
http://www.wikidata.org/entity/Q332722,"George Leveson-Gower, 1st Duke of Sutherland",1758-01-09T00:00:00Z,,male
http://www.wikidata.org/entity/Q334614,"Richard Monckton Milnes, 1st Baron Houghton",1809-06-19T00:00:00Z,18463,male
http://www.wikidata.org/entity/Q334846,"Edmund Allenby, 1st Viscount Allenby",1861-04-23T00:00:00Z,,male
http://www.wikidata.org/entity/Q334974,"Julian Byng, 1st Viscount Byng of Vimy",1862-09-11T00:00:00Z,,male
http://www.wikidata.org/entity/Q334980,"Arthur Tedder, 1st Baron Tedder",1890-07-11T00:00:00Z,,male
http://www.wikidata.org/entity/Q334984,"John Vereker, 6th Viscount Gort",1886-07-10T00:00:00Z,,male
http://www.wikidata.org/entity/Q334999,"John Fisher, 1st Baron Fisher",1841-01-25T00:00:00Z,,male
http://www.wikidata.org/entity/Q335008,"Frederick Roberts, 1st Earl Roberts",1832-09-30T00:00:00Z,,male
http://www.wikidata.org/entity/Q335013,"David Beatty, 1st Earl Beatty",1871-01-17T00:00:00Z,,male
http://www.wikidata.org/entity/Q335028,"John Jellicoe, 1st Earl Jellicoe",1859-12-05T00:00:00Z,,male
http://www.wikidata.org/entity/Q335033,"William Slim, 1st Viscount Slim",1891-08-06T00:00:00Z,,male
http://www.wikidata.org/entity/Q335049,William Beveridge,1879-03-05T00:00:00Z,16644,male
http://www.wikidata.org/entity/Q335059,"John French, 1st Earl of Ypres",1852-09-28T00:00:00Z,,male
http://www.wikidata.org/entity/Q335091,"Alexander Cambridge, 1st Earl of Athlone",1874-04-14T00:00:00Z,,male
http://www.wikidata.org/entity/Q335098,"Thomas Bruce, 7th Earl of Elgin",1766-07-20T00:00:00Z,,male
http://www.wikidata.org/entity/Q335115,"William Armstrong, 1st Baron Armstrong",1810-11-26T00:00:00Z,,male
http://www.wikidata.org/entity/Q335120,"Eric Drummond, 16th Earl of Perth",1876-08-17T00:00:00Z,,male
http://www.wikidata.org/entity/Q335125,N. T. Wright,1948-11-01T00:00:00Z,12996,male
http://www.wikidata.org/entity/Q335125,N. T. Wright,1948-12-01T00:00:00Z,12996,male
http://www.wikidata.org/entity/Q335129,"George Mountbatten, 2nd Marquess of Milford Haven",1892-11-06T00:00:00Z,,male
http://www.wikidata.org/entity/Q335138,"FitzRoy Somerset, 1st Baron Raglan",1788-09-30T00:00:00Z,24348,male
http://www.wikidata.org/entity/Q335159,"Claude Bowes-Lyon, 14th Earl of Strathmore and Kinghorne",1855-03-14T00:00:00Z,,male
http://www.wikidata.org/entity/Q335163,Guy Carleton,1724-09-03T00:00:00Z,,male
http://www.wikidata.org/entity/Q335178,"John Hope, 1st Marquess of Linlithgow",1860-09-25T00:00:00Z,,male
http://www.wikidata.org/entity/Q335187,"Edward Grey, 1st Viscount Grey of Fallodon",1862-04-25T00:00:00Z,15555,male
http://www.wikidata.org/entity/Q335193,"Alfred Harmsworth, 1st Viscount Northcliffe",1865-07-15T00:00:00Z,,male
http://www.wikidata.org/entity/Q335205,"Richard Wellesley, 1st Marquess Wellesley",1760-06-20T00:00:00Z,,male
http://www.wikidata.org/entity/Q335248,"Edmund Ironside, 1st Baron Ironside",1880-05-06T00:00:00Z,,male
http://www.wikidata.org/entity/Q335267,"Cuthbert Collingwood, 1st Baron Collingwood",1748-09-26T00:00:00Z,,male
http://www.wikidata.org/entity/Q335270,"James Hamilton, 2nd Duke of Abercorn",1838-08-24T00:00:00Z,15241,male
http://www.wikidata.org/entity/Q335286,"Henry Scott, 3rd Duke of Buccleuch",1746-09-02T00:00:00Z,,male
http://www.wikidata.org/entity/Q335289,Francis Scott,1695-01-11T00:00:00Z,,male
http://www.wikidata.org/entity/Q335295,"Thomas Stanley, 1st Earl of Derby",1435-01-10T00:00:00Z,,male
http://www.wikidata.org/entity/Q335300,"George Campbell, 8th Duke of Argyll",1823-04-30T00:00:00Z,,male
http://www.wikidata.org/entity/Q335305,"George Villiers, 4th Earl of Clarendon",1800-01-12T00:00:00Z,,male
http://www.wikidata.org/entity/Q335316,"Henry Bathurst, 3rd Earl Bathurst",1762-05-22T00:00:00Z,,male
http://www.wikidata.org/entity/Q335323,"William Morrison, 1st Viscount Dunrossil",1893-08-10T00:00:00Z,22243,male
http://www.wikidata.org/entity/Q335324,Duff Cooper,1890-02-22T00:00:00Z,22416,male
http://www.wikidata.org/entity/Q335334,"Adam Duncan, 1st Viscount Duncan",1731-07-01T00:00:00Z,,male
http://www.wikidata.org/entity/Q335338,"Edward Pellew, 1st Viscount Exmouth",1757-04-19T00:00:00Z,,male
http://www.wikidata.org/entity/Q335342,"John Wodehouse, 1st Earl of Kimberley",1826-01-07T00:00:00Z,,male
http://www.wikidata.org/entity/Q335344,"Alistair Vane-Tempest-Stewart, 9th Marquess of Londonderry",1937-09-07T00:00:00Z,,male
http://www.wikidata.org/entity/Q335347,"Archibald Campbell, 3rd Duke of Argyll",1682-06-01T00:00:00Z,,male
http://www.wikidata.org/entity/Q335351,"Henry Dundas, 1st Viscount Melville",1742-04-28T00:00:00Z,23247,male
http://www.wikidata.org/entity/Q335358,"William Herbert, 3rd Earl of Pembroke",1580-04-18T00:00:00Z,,male
http://www.wikidata.org/entity/Q335374,"Hugh FitzRoy, 11th Duke of Grafton",1919-04-03T00:00:00Z,,male
http://www.wikidata.org/entity/Q335381,"George Ramsay, 9th Earl of Dalhousie",1770-10-23T00:00:00Z,,male
http://www.wikidata.org/entity/Q335388,"William Ward, 2nd Earl of Dudley",1867-05-25T00:00:00Z,,male
http://www.wikidata.org/entity/Q335398,"Guy Innes-Ker, 10th Duke of Roxburghe",1954-11-18T00:00:00Z,,male
http://www.wikidata.org/entity/Q335402,"John Colborne, 1st Baron Seaton",1778-02-16T00:00:00Z,,male
http://www.wikidata.org/entity/Q335417,"Angus Douglas-Hamilton, 15th Duke of Hamilton",1938-09-13T00:00:00Z,,male
http://www.wikidata.org/entity/Q335424,Richard Rutt,1925-08-27T00:00:00Z,,male
http://www.wikidata.org/entity/Q335425,"William Cavendish, 5th Duke of Devonshire",1748-12-14T00:00:00Z,,male
http://www.wikidata.org/entity/Q335434,"Thomas Douglas, 5th Earl of Selkirk",1771-06-20T00:00:00Z,,male
http://www.wikidata.org/entity/Q1624654,"John de Beaumont, 2nd Baron Beaumont",http://www.wikidata.org/.well-known/genid/1dd4c65a044d0e8821d4f7d9741c39ac,,male
http://www.wikidata.org/entity/Q1700394,"John Hastings, 2nd Earl of Pembroke",1347-09-06T00:00:00Z,,male
http://www.wikidata.org/entity/Q1700469,"John Hobhouse, Baron Hobhouse of Woodborough",1932-01-31T00:00:00Z,13227,male
http://www.wikidata.org/entity/Q71795,"George Osborne, 6th Duke of Leeds",1775-07-21T00:00:00Z,,male
http://www.wikidata.org/entity/Q72087,"John Talbot, 2nd Earl of Shrewsbury",1413-12-21T00:00:00Z,,male
http://www.wikidata.org/entity/Q74001,"Sophia von Kielmansegg, Countess of Darlington",1673-01-01T00:00:00Z,,female
http://www.wikidata.org/entity/Q74001,"Sophia von Kielmansegg, Countess of Darlington",1675-01-01T00:00:00Z,,female
http://www.wikidata.org/entity/Q74317,"James Hamilton, 3rd Earl of Arran",1537-01-01T00:00:00Z,,male
http://www.wikidata.org/entity/Q77932,"Amalie von Wallmoden, Countess of Yarmouth",1704-04-01T00:00:00Z,,female
http://www.wikidata.org/entity/Q80259,"John Talbot, 3rd Earl of Shrewsbury",1448-12-21T00:00:00Z,,male
http://www.wikidata.org/entity/Q80976,"Prince Philip, Duke of Edinburgh",1921-06-10T00:00:00Z,,male
http://www.wikidata.org/entity/Q83235,Horatio Nelson,1758-09-29T00:00:00Z,,male
http://www.wikidata.org/entity/Q104190,Robert Walpole,1676-09-05T00:00:00Z,,male
http://www.wikidata.org/entity/Q117174,"Prince Henry, Duke of Gloucester",1900-03-31T00:00:00Z,,male
http://www.wikidata.org/entity/Q122522,Leslie Hore-Belisha,1893-09-07T00:00:00Z,17828,male
http://www.wikidata.org/entity/Q128333,"William Cavendish-Bentinck, 6th Duke of Portland",1857-12-28T00:00:00Z,,male
http://www.wikidata.org/entity/Q128641,Richard Bedford Bennett,1870-07-03T00:00:00Z,,male
http://www.wikidata.org/entity/Q128995,Anthony Eden,1897-06-12T00:00:00Z,17287,male
http://www.wikidata.org/entity/Q129359,"Michael Mustill, Baron Mustill",1931-05-10T00:00:00Z,13705,male
http://www.wikidata.org/entity/Q130586,George IV of the United Kingdom,1762-08-12T00:00:00Z,,male
http://www.wikidata.org/entity/Q130822,William IV,1765-08-21T00:00:00Z,,male
http://www.wikidata.org/entity/Q137955,"Donald Nicholls, Baron Nicholls of Birkenhead",1933-01-25T00:00:00Z,13689,male
http://www.wikidata.org/entity/Q142609,"William Amherst, 1st Earl Amherst",1773-01-14T00:00:00Z,,male
http://www.wikidata.org/entity/Q152025,Bernard Montgomery,1887-11-17T00:00:00Z,,male
http://www.wikidata.org/entity/Q153330,"Prince Andrew, Duke of York",1960-02-19T00:00:00Z,,male
http://www.wikidata.org/entity/Q153513,"William Carnegie, 7th Earl of Northesk",1758-04-19T00:00:00Z,,male
http://www.wikidata.org/entity/Q154920,"Prince Edward, Duke of Edinburgh",1964-03-10T00:00:00Z,,male
http://www.wikidata.org/entity/Q157068,"Louis Mountbatten, 1st Earl Mountbatten of Burma",1900-06-25T00:00:00Z,,male
http://www.wikidata.org/entity/Q158143,"Alfred, Duke of Saxe-Coburg and Gotha",1844-08-06T00:00:00Z,,male
http://www.wikidata.org/entity/Q158765,"George Herbert, 5th Earl of Carnarvon",1866-06-26T00:00:00Z,,male
http://www.wikidata.org/entity/Q159670,"Prince Albert Victor, Duke of Clarence and Avondale",1864-01-08T00:00:00Z,,male
http://www.wikidata.org/entity/Q160252,Frederic Leighton,1830-12-03T00:00:00Z,,male
http://www.wikidata.org/entity/Q160541,"Prince Leopold, Duke of Albany",1853-04-07T00:00:00Z,,male
http://www.wikidata.org/entity/Q160558,"Prince Arthur, Duke of Connaught and Strathearn",1850-05-01T00:00:00Z,,male
http://www.wikidata.org/entity/Q160770,"Prince George, Duke of Kent",1902-12-20T00:00:00Z,,male
http://www.wikidata.org/entity/Q162302,Ernst August II of Hanover,1771-06-05T00:00:00Z,,male
http://www.wikidata.org/entity/Q165770,"Edward Clive, 1st Earl of Powis",1754-03-07T00:00:00Z,,male
http://www.wikidata.org/entity/Q166023,"James FitzJames, 1st Duke of Berwick",1670-08-21T00:00:00Z,,male
http://www.wikidata.org/entity/Q167356,"John Russell, 4th Earl Russell",1921-11-16T00:00:00Z,,male
http://www.wikidata.org/entity/Q170294,"Prince Richard, Duke of Gloucester",1944-08-26T00:00:00Z,,male
http://www.wikidata.org/entity/Q171722,"John Crichton-Stuart, 7th Marquess of Bute",1958-04-26T00:00:00Z,,male
http://www.wikidata.org/entity/Q173869,Alfred Tennyson,1809-08-06T00:00:00Z,,male
http://www.wikidata.org/entity/Q1701151,"John de Mowbray, 2nd Duke of Norfolk",1392-08-11T00:00:00Z,,male
http://www.wikidata.org/entity/Q1701264,"John Osborne, 11th Duke of Leeds",1901-03-12T00:00:00Z,,male
http://www.wikidata.org/entity/Q1701316,"John Palmer, 4th Earl of Selborne",1940-03-24T00:00:00Z,13181,male
http://www.wikidata.org/entity/Q1701770,"John Slim, 2nd Viscount Slim",1927-07-20T00:00:00Z,13464,male
http://www.wikidata.org/entity/Q1702197,"John Wise, 2nd Baron Wise",1923-06-11T00:00:00Z,,male
http://www.wikidata.org/entity/Q1704763,"Nicholas Mosley, 3rd Baron Ravensdale",1923-06-25T00:00:00Z,,male
http://www.wikidata.org/entity/Q1706033,"William Rootes, 1st Baron Rootes",1894-08-17T00:00:00Z,,male
http://www.wikidata.org/entity/Q1712002,"Julian Hardinge, 4th Baron Hardinge of Penshurst",1945-08-23T00:00:00Z,,male
http://www.wikidata.org/entity/Q1721559,"Uchter Knox, 5th Earl of Ranfurly",1856-08-14T00:00:00Z,,male
http://www.wikidata.org/entity/Q1726897,"Edward Macnaghten, Baron Macnaghten",1830-02-03T00:00:00Z,16022,male
http://www.wikidata.org/entity/Q1747637,"Michael Morris, 1st Baron Killanin",1826-11-14T00:00:00Z,20360,male
http://www.wikidata.org/entity/Q1748216,"Patrick Maitland, 17th Earl of Lauderdale",1911-03-17T00:00:00Z,22061,male
http://www.wikidata.org/entity/Q1753204,"Algernon Percy, 4th Duke of Northumberland",1792-12-15T00:00:00Z,,male
http://www.wikidata.org/entity/Q1756405,"Alfred Lawrence, 1st Baron Trevethin",1843-11-24T00:00:00Z,,male
http://www.wikidata.org/entity/Q1765791,"Thomas Shaw, 1st Baron Craigmyle",1850-05-23T00:00:00Z,16373,male
http://www.wikidata.org/entity/Q1766003,"James Robertson, Baron Robertson",1845-08-10T00:00:00Z,14247,male
http://www.wikidata.org/entity/Q1766011,"William Robson, Baron Robson",1852-09-10T00:00:00Z,15323,male
http://www.wikidata.org/entity/Q1766037,William Watson,1827-08-25T00:00:00Z,20613,male
http://www.wikidata.org/entity/Q1766037,William Watson,1828-01-01T00:00:00Z,20613,male
http://www.wikidata.org/entity/Q1774165,Tom Butler,1940-03-05T00:00:00Z,13655,male
http://www.wikidata.org/entity/Q1779960,Tim Stevens,1946-12-31T00:00:00Z,13453,male
http://www.wikidata.org/entity/Q1844223,"John Hamilton, 1st Viscount Sumner",1859-02-03T00:00:00Z,,male
http://www.wikidata.org/entity/Q1844266,"Robert Parker, Baron Parker of Waddington",1857-02-25T00:00:00Z,,male
http://www.wikidata.org/entity/Q1844725,"Andrew Murray, 1st Viscount Dunedin",1849-11-21T00:00:00Z,15474,male
http://www.wikidata.org/entity/Q1845004,"John Fletcher Moulton, Baron Moulton",1844-11-18T00:00:00Z,15526,male
http://www.wikidata.org/entity/Q1886995,"Malcolm Erskine, 17th Earl of Buchan",1930-07-04T00:00:00Z,,male
http://www.wikidata.org/entity/Q1899952,"Mark Birdwood, 3rd Baron Birdwood",1938-11-23T00:00:00Z,,male
http://www.wikidata.org/entity/Q1899996,"Mark Colville, 4th Viscount Colville of Culross",1933-07-19T00:00:00Z,13516,male
http://www.wikidata.org/entity/Q335510,"Arthur Hamilton-Gordon, 1st Baron Stanmore",1829-11-26T00:00:00Z,20132,male
http://www.wikidata.org/entity/Q335513,"James Hamilton, 1st Duke of Abercorn",1811-01-21T00:00:00Z,,male
http://www.wikidata.org/entity/Q335522,"Edmund Lyons, 1st Baron Lyons",1790-11-21T00:00:00Z,,male
http://www.wikidata.org/entity/Q335542,"Oliver Russell, 2nd Baron Ampthill",1869-02-19T00:00:00Z,,male
http://www.wikidata.org/entity/Q335557,"Ian Russell, 13th Duke of Bedford",1917-05-24T00:00:00Z,,male
http://www.wikidata.org/entity/Q335566,"Beauchamp Seymour, 1st Baron Alcester",1821-04-12T00:00:00Z,,male
http://www.wikidata.org/entity/Q335593,"Frederick Lindemann, 1st Viscount Cherwell",1886-04-05T00:00:00Z,,male
http://www.wikidata.org/entity/Q335594,"Charles Gordon-Lennox, 8th Duke of Richmond",1870-12-30T00:00:00Z,,male
http://www.wikidata.org/entity/Q335611,"James Hamilton, 2nd Marquess of Hamilton",1589-01-01T00:00:00Z,,male
